num_regular_instances,num_regular_services,ds,num_illfitting_instances,num_illfitting_services,num_regular_deprecation,num_illfitting_deprecation,num_regular_creation,num_illfitting_creation
8697213,6418,2021-11-07,436614,10326,5,210,3,240
10208071,7244,2022-09-17,800475,9501,1,301,1,256
8655572,6207,2021-10-05,375938,10426,6,241,8,1
9735929,7120,2022-07-24,753407,10352,12,477,2,529
9190114,6706,2022-03-12,520659,8296,0,209,5,340
9386689,6912,2022-04-30,573510,7563,2,258,4,246
8722141,6222,2021-10-07,391564,10587,3,128,28,259
9230600,6843,2022-04-06,539285,7986,4,572,29,669
10132989,7233,2022-09-14,831222,9233,24,373,18,484
11095481,7435,2022-12-10,1173705,11633,1,249,2,233
9007409,6549,2022-02-15,375383,6053,6,391,9,286
10862604,7434,2022-11-22,1055894,11393,0,170,10,62
7135323,5496,2021-03-01,106502,2028,1,0,5553,2089
8042071,5686,2021-06-06,294281,11587,12,13,0,169
9786668,7108,2022-07-15,752197,10625,1,350,21,444
9011404,6568,2022-02-03,392087,6394,2,338,11,446
10978684,7442,2022-12-06,1142999,11713,13,362,22,384
9805507,7207,2022-08-16,744333,9721,3,441,13,390
8721837,6492,2021-11-23,448952,8048,1,185,7,134
8082375,5756,2021-07-02,347424,10066,0,29,3,102
8019086,5652,2021-05-22,291849,9880,0,376,0,590
9602539,7096,2022-07-19,704788,10351,6,314,25,509
8254310,6132,2021-09-06,409066,10371,14,164,17,215
8174123,6036,2021-08-21,338888,7532,1,172,0,184
8730051,6486,2021-11-18,468317,8344,8,363,16,424
9694733,7139,2022-07-29,742720,10818,3,447,33,417
6178209,5523,2021-03-10,112949,2167,4,10,20,33
9111592,6822,2022-04-04,503345,7958,0,105,12,422
10229756,7221,2022-09-26,818008,10157,5,507,21,923
9242275,6842,2022-04-08,530448,7542,3,104,11,491
9645937,7030,2022-07-06,686385,9856,3,640,23,447
7990914,5712,2021-06-13,319922,12528,4,276,2,359
7851996,5700,2021-05-06,238373,7635,4,471,12,480
8144965,6045,2021-07-30,360793,10265,3,137,25,201
8729035,6223,2021-10-10,402779,10266,0,229,1,196
9011404,6568,2022-02-04,391663,6375,18,323,17,287
7622410,5667,2021-04-16,182358,5100,9,47,15,542
7591915,5672,2021-04-20,180790,6015,19,97,28,40
7815287,5740,2021-05-01,204027,6811,1,196,1,61
9342138,6896,2022-04-21,591400,8307,16,294,14,224
9240121,6709,2022-03-17,515316,8060,5,380,27,425
10815478,7448,2022-11-15,1038402,12029,15,888,16,609
9011365,6565,2022-02-07,387611,6336,6,337,17,330
8579892,6115,2021-09-17,404380,10868,1,147,8,250
9386679,6911,2022-05-01,569134,7429,3,184,0,225
9007597,6559,2022-02-10,381459,6210,5,372,14,420
8251442,6086,2021-08-31,405812,10116,4,61,19,174
8005732,5676,2021-05-31,270645,11486,5,319,3,328
9921279,7210,2022-08-18,758718,9535,6,449,18,467
9504736,7100,2022-06-08,663991,8702,6,255,19,527
9070507,6684,2022-03-15,504059,8204,4,384,17,336
8080141,5755,2021-06-24,308790,10733,8,177,16,173
10415186,7307,2022-10-11,828857,10986,3,581,21,537
10250963,7239,2022-09-22,943938,9823,4,426,26,605
10527767,7304,2022-10-08,918152,10888,1,366,2,358
8150063,5877,2021-08-06,350703,9989,5,176,10,140
7478179,5649,2021-04-01,166948,3975,10,47,18,161
8041237,5687,2021-06-05,300425,11778,1,227,4,928
8708875,6270,2021-10-18,362596,10030,4,209,0,329
8251298,6076,2021-08-27,362104,8894,2,109,20,1295
