service_type,service_id,num_endpoints
illfitting,09316,1
illfitting,07478,1
illfitting,13055,1
illfitting,09399,1
regular,17777,6
regular,17834,5
regular,03163,1
illfitting,11808,1
illfitting,02884,1
illfitting,08763,1
illfitting,04787,2
illfitting,04037,1
illfitting,04258,1
illfitting,18491,2
illfitting,00414,2
regular,12134,5
illfitting,05404,4
illfitting,04810,1
regular,06251,1
illfitting,09879,2
illfitting,10052,1
regular,07770,1
illfitting,11741,1
illfitting,10206,1
illfitting,16119,1
illfitting,08267,1
regular,10398,8
illfitting,13059,1
regular,11495,1
illfitting,00492,2
regular,03244,1
regular,17012,7
illfitting,08792,1
illfitting,02601,1
illfitting,16179,1
illfitting,05490,2
illfitting,04848,1
illfitting,12993,1
illfitting,11686,1
illfitting,05130,1
illfitting,16203,1
illfitting,05841,1
illfitting,03973,1
regular,18055,2
illfitting,11776,1
regular,04509,2
illfitting,14266,1
illfitting,08656,1
illfitting,09138,1
illfitting,16255,1
regular,08064,2
illfitting,01374,1
illfitting,11277,1
illfitting,11633,1
illfitting,01379,1
illfitting,02184,1
illfitting,11362,1
regular,07709,2
regular,16849,14
illfitting,05477,4
regular,16880,1
regular,07361,5
regular,03092,8
illfitting,15159,1
illfitting,05465,3
illfitting,09389,1
illfitting,15712,1
illfitting,02925,1
regular,07298,4
illfitting,13522,1
illfitting,08902,1
illfitting,09287,1
illfitting,08164,1
regular,05729,6
regular,07660,1
regular,03226,3
illfitting,06046,1
illfitting,02223,1
regular,07863,1
regular,00181,1
illfitting,11573,1
regular,12218,3
illfitting,07976,2
illfitting,01150,1
illfitting,08537,3
regular,05582,1
illfitting,00409,2
regular,03767,2
illfitting,15556,1
illfitting,17086,2
illfitting,11151,1
illfitting,09140,1
illfitting,06168,1
illfitting,15928,1
illfitting,05044,1
illfitting,11786,1
regular,06498,14
regular,03765,1
regular,00129,3
illfitting,04914,1
regular,04553,2
illfitting,04610,1
illfitting,08785,1
regular,14615,8
regular,07118,4
illfitting,08957,1
illfitting,11232,1
regular,16931,1
illfitting,11412,2
illfitting,12574,1
illfitting,15113,1
illfitting,07611,1
regular,10547,1
regular,00064,1
illfitting,15776,1
illfitting,14196,1
illfitting,05817,1
illfitting,10203,1
illfitting,04915,1
illfitting,05337,2
regular,17527,6
illfitting,01990,1
illfitting,06092,1
illfitting,04755,1
regular,16919,3
regular,17744,2
illfitting,04703,1
illfitting,08094,1
illfitting,13763,1
